date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:11:37	842/842	---M--	200	added ('OK')	text/plain	date:Wed,%2001%20Oct%202014%2012:52:08%20GMT	https://limaghana.com/robots.txt		(from )
11:11:40	98038/98038	---MC-	200	added ('OK')	text/html	date:Sun,%2012%20Jan%202025%2011:09:52%20GMT	https://limaghana.com/wp/	C:/My%20Web%20Sites/REAL/lima/limaghana.com/wp/index.html	(from )
11:11:47	114706/114706	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Nov%202024%2002:07:46%20GMT	https://limaghana.com/wp/wp-includes/css/dist/block-library/style.min.css?ver=6.7.1	C:/My%20Web%20Sites/REAL/lima/limaghana.com/wp/wp-includes/css/dist/block-library/style.min9704.css	(from https://limaghana.com/wp/)
11:11:48	1730/1730	---MC-	200	added ('OK')	application/rss+xml	etag:%226ebc0366db0075aab4d23c7d4f10e356%22	https://limaghana.com/wp/comments/feed/	C:/My%20Web%20Sites/REAL/lima/limaghana.com/wp/comments/feed/index.html	(from https://limaghana.com/wp/)
11:11:48	2894/2894	---M--	200	added ('OK')	text/css	date:Mon,%2025%20Nov%202024%2014:31:03%20GMT	https://limaghana.com/wp/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.0	C:/My%20Web%20Sites/REAL/lima/limaghana.com/wp/wp-content/plugins/contact-form-7/includes/css/stylesf049.css	(from https://limaghana.com/wp/)
11:11:50	63787/63787	---MC-	200	added ('OK')	application/rss+xml	etag:%226ebc0366db0075aab4d23c7d4f10e356%22	https://limaghana.com/wp/feed/	C:/My%20Web%20Sites/REAL/lima/limaghana.com/wp/feed/index.html	(from https://limaghana.com/wp/)
11:11:53	87493/87493	---M--	200	added ('OK')	text/css	date:Mon,%2014%20Aug%202023%2013:49:54%20GMT	https://limaghana.com/wp/wp-content/plugins/oslim-addon/assets/vendors/animate/animate.min.css?ver=1692020994	C:/My%20Web%20Sites/REAL/lima/limaghana.com/wp/wp-content/plugins/oslim-addon/assets/vendors/animate/animate.minee30.css	(from https://limaghana.com/wp/)
11:11:55	25523/25523	---M--	200	added ('OK')	text/css	date:Mon,%2014%20Aug%202023%2013:49:54%20GMT	https://limaghana.com/wp/wp-content/plugins/oslim-addon/assets/vendors/animate/custom-animate.css?ver=1692020994	C:/My%20Web%20Sites/REAL/lima/limaghana.com/wp/wp-content/plugins/oslim-addon/assets/vendors/animate/custom-animateee30.css	(from https://limaghana.com/wp/)
11:12:05	313/313	---M--	200	added ('OK')	text/css	date:Mon,%2014%20Aug%202023%2013:49:54%20GMT	https://limaghana.com/wp/wp-content/plugins/oslim-addon/assets/vendors/reey-font/stylesheet.css?ver=1692020994	C:/My%20Web%20Sites/REAL/lima/limaghana.com/wp/wp-content/plugins/oslim-addon/assets/vendors/reey-font/stylesheetee30.css	(from https://limaghana.com/wp/)
11:12:06	11832/11832	---M--	200	added ('OK')	text/css	date:Mon,%2014%20Aug%202023%2013:49:54%20GMT	https://limaghana.com/wp/wp-content/plugins/oslim-addon/assets/vendors/bootstrap-select/css/bootstrap-select.min.css?ver=1692020994	C:/My%20Web%20Sites/REAL/lima/limaghana.com/wp/wp-content/plugins/oslim-addon/assets/vendors/bootstrap-select/css/bootstrap-select.minee30.css	(from https://limaghana.com/wp/)
11:12:10	4088/4088	---M--	200	added ('OK')	text/css	date:Mon,%2014%20Aug%202023%2013:49:54%20GMT	https://limaghana.com/wp/wp-content/plugins/oslim-addon/assets/vendors/bxslider/jquery.bxslider.css?ver=1692020994	C:/My%20Web%20Sites/REAL/lima/limaghana.com/wp/wp-content/plugins/oslim-addon/assets/vendors/bxslider/jquery.bxslideree30.css	(from https://limaghana.com/wp/)
11:12:10	335/335	---M--	200	added ('OK')	text/css	date:Mon,%2014%20Aug%202023%2013:49:54%20GMT	https://limaghana.com/wp/wp-content/plugins/oslim-addon/assets/vendors/jarallax/jarallax.css?ver=1692020994	C:/My%20Web%20Sites/REAL/lima/limaghana.com/wp/wp-content/plugins/oslim-addon/assets/vendors/jarallax/jarallaxee30.css	(from https://limaghana.com/wp/)
11:12:11	7302/7302	---M--	200	added ('OK')	text/css	date:Mon,%2014%20Aug%202023%2013:49:54%20GMT	https://limaghana.com/wp/wp-content/plugins/oslim-addon/assets/vendors/jquery-magnific-popup/jquery.magnific-popup.css?ver=1692020994	C:/My%20Web%20Sites/REAL/lima/limaghana.com/wp/wp-content/plugins/oslim-addon/assets/vendors/jquery-magnific-popup/jquery.magnific-popupee30.css	(from https://limaghana.com/wp/)
